title,link,summary,category,website,published
"Arne Slot will have some leniency, but what’s possible for Liverpool in 2024/25?",https://www.thisisanfield.com/2024/08/arne-slot-will-have-some-leniency-but-whats-possible-for-liverpool-in-2024-25/,"This is an article by This is Anfield. Arne Slot knows he will be afforded a level of leniency in his first season at Liverpool, but he is aware of what a strong start can inspire. Just over ten years ago, Brendan Rodgers’ Liverpool team finished their campaign with 12 wins from the last 14 games, but it wasn’t enough to secure the title. Slot would give anything to “be in the equation,” as Liverpool managed a strong start that season with three wins from the first three matches. The margin for error in the Premier League has decreased significantly since then, and missteps against lesser teams can be seismic. Slot understands that an awkward start will raise impatience levels, even during a honeymoon period. He noted that the last few percentages of improvement can make the difference between winning the title or finishing third. The Reds have learned that dropped points are costly, even if they finish strongly. To keep the title dream alive, they must capitalize on a favorable set of opening fixtures. Slot expressed confidence in his players and aims to exceed the points total necessary to compete with teams like Arsenal and City. The new manager bounce factor is crucial, and Slot's pre-season has gone well, setting the stage for a fast start.",Liverpool FC,This is Anfield,2024-08-13 17:00:18+0000
"Mamardashvili meeting, Ipswich referee & Diaz rumour – Latest Liverpool FC News",https://www.thisisanfield.com/2024/08/mamardashvili-meeting-ipswich-referee-diaz-rumour-latest-liverpool-fc-news/,"This is an article by This is Anfield. Liverpool’s interest in Giorgi Mamardashvili appears to have strengthened, with several Spanish media outlets claiming that the club is “working at full speed” to sign the Valencia goalkeeper. A meeting has already been scheduled for Liverpool to discuss the deal, with the possibility of Mamardashvili being loaned out to ensure he remains a regular starter, which is reportedly appealing to him. Meanwhile, the referee for Liverpool’s Premier League opener has been confirmed, as the club prepares for the new season. 

Additionally, Liverpool has released official behind-the-scenes footage from their recent friendlies against Sevilla and Las Palmas. The excitement continues with the Carabao Cup match between Sheffield United and Wrexham, set to be broadcast live. This roundup provides an informative and light-hearted look at the day’s events surrounding LFC and the broader football world.",Liverpool FC,This is Anfield,2024-08-13 16:02:13+0000
Liverpool left-back wanted by at least 7 clubs with front-runners in Championship,https://www.thisisanfield.com/2024/08/liverpool-left-back-wanted-by-at-least-7-clubs-with-front-runners-in-championship/,"This is an article by This is Anfield. Liverpool left-back Owen Beck is expected to leave the club soon, with interest from at least seven clubs across four countries. He was notably absent from Liverpool’s final two pre-season friendlies against Sevilla and Las Palmas, which raises questions about his future. The 22-year-old has played three times for the first team and could leave on loan or permanently. Celtic and Rangers have shown interest, along with clubs in Germany and the Netherlands. Championship side QPR is reportedly leading the chase for a temporary deal, with Middlesbrough and Leeds also interested. Beck missed the recent friendlies due to illness but is expected to have his future resolved this week. Liverpool wants him to sign a new contract before going out on loan and values him at around £3 million. With Andy Robertson set to be the first-choice left-back, Beck would benefit from another short-term move. Last season, he spent time on loan at Dundee, where he scored two goals and provided four assists in 28 appearances.",Liverpool FC,This is Anfield,2024-08-13 14:37:48+0000
Liverpool and Man City sources have now responded to bizarre Luis Diaz rumour,https://www.thisisanfield.com/2024/08/liverpool-and-man-city-sources-have-now-responded-to-bizarre-luis-diaz-rumour/,"This is an article by This is Anfield. Less than half an hour after a bizarre rumour emerged from Spain over Luis Diaz joining Man City, sources from Liverpool and Manchester have now responded. Diaz’s future remains a hot topic in Spain and Colombia, including ongoing claims that he could join Barcelona as an alternative to Nico Williams. The winger returned to pre-season with Liverpool last week and made an outstanding start to life under Arne Slot with a brace in Sunday’s 4-1 friendly win over Sevilla. However, This Is Anfield understands that Liverpool have received no approach for the Colombia winger from any club. Tuesday brought a wild claim from journalist Marcos Benito, who told Spanish outlet El Chiringuito TV that Diaz had agreed to join Man City on a five-year deal. Further sources from both Liverpool and Man City have rejected the rumour, with The Athletic’s Sam Lee bringing word from the Etihad that there is “no truth” to Benito’s claim. Speaking while on international duty with Colombia in June, Diaz himself insisted he was “very happy” at Anfield. Diaz’s current contract runs to 2027, but it has been reported that Liverpool could seek to tie him down to improved terms amid interest from Barcelona and Paris Saint-Germain. As it stands, then, the plan is for Diaz to head into the club’s first campaign under Slot as first choice on the left flank.",Liverpool FC,This is Anfield,2024-08-13 12:29:41+0000
Referee and VAR confirmed for Ipswich vs. Liverpool in Premier League opener,https://www.thisisanfield.com/2024/08/referee-and-var-confirmed-for-ipswich-vs-liverpool-in-premier-league-opener/,"This is an article by This is Anfield. Liverpool now know the team of officials in charge of their Premier League opener at Ipswich on Saturday, with Tim Robinson appointed as the referee. This will be Robinson’s fourth time officiating a Reds fixture, having previously refereed their Carabao Cup wins over Leicester and West Ham last season, as well as a league victory against Burnley. His assistants will be Timothy Wood and Steve Meredith, with Keith Stroud as the fourth official. Stuart Attwell will lead VAR duties, supported by Harry Lennard. 

Liverpool’s match at Portman Road will be the second fixture of the Premier League campaign, following Man United vs. Fulham on Friday night. This will be the first clash between Liverpool and Ipswich since December 2002, and their first league meeting since May 2002, which ended in a 5-0 win for Liverpool. A change in management for Liverpool could influence how they are officiated, as Jurgen Klopp has had notable run-ins with officials during his tenure. 

Robinson has not been involved in major controversies with Liverpool, having shown no red cards or awarded penalties in his previous matches. However, Attwell has faced criticism for his VAR decisions, notably during a 1-1 draw with Man City where he overlooked a potential penalty incident.",Liverpool FC,This is Anfield,2024-08-13 12:08:06+0000
Liverpool “working at full speed” to sign Giorgi Mamardashvili – club sources respond,https://www.thisisanfield.com/2024/08/liverpool-working-at-full-speed-to-sign-giorgi-mamardashvili-club-sources-respond/,"This is an article by This is Anfield. Reports of Liverpool’s push to sign Valencia goalkeeper Giorgi Mamardashvili have accelerated in Spain, though sources on Merseyside are less emphatic. Mamardashvili has emerged as a realistic target for the Reds this summer, with claims that they could sign the Georgian before loaning him out. It was reported that Liverpool were “determined to sign” the 23-year-old as a long-term replacement for Alisson, proposing to buy him for €30 million (£25.6m) before loaning him to Bournemouth. Spanish sources have intensified the story, with reports indicating that Liverpool are “working at full speed” to secure Mamardashvili. AS journalist Julian Burgos claims the Reds informed Valencia that a “final offer” would come within 72 hours. Liverpool intends to sign Mamardashvili and loan him to a Premier League club until 2025/26, with interest from four teams. However, league rules state that “Premier League clubs cannot loan to another Premier League club a player they have acquired in the same transfer window.” While reports suggest Liverpool are close to signing him, sources within the club insist they are simply “monitoring” Mamardashvili. The reluctance to confirm a deal hints at ongoing negotiations, with the club likely seeking a more favorable payment structure. If the deal were to go ahead, it would involve Valencia, Liverpool, and the club taking Mamardashvili on loan.",Liverpool FC,This is Anfield,2024-08-13 11:17:16+0000
Ten potential breakout stars to watch in the Premier League this season,https://www.theguardian.com/football/who-scored-blog/article/2024/aug/14/ten-potential-breakout-stars-to-watch-in-the-premier-league-this-season,"This is an article by The Guardian. The Swedish teenager Lucas Bergvall agreed an £8.5m move from Djurgården in February, before officially joining Tottenham this summer. Bergvall is an all-action midfielder, well suited to a No 8 role in Ange Postecoglou’s fluid Tottenham system. Another player who has staked their claim for more regular first-team involvement during pre-season is Manchester United’s Harry Amass. Though perhaps already a household name, Oscar Bobb looks to have a strong chance of making a real impact under Pep Guardiola. Viewed predominantly as a central midfielder throughout his time at the Arsenal Academy, Myles Lewis-Skelly may break into Mikel Arteta’s first team sooner rather than later. A versatile attacker who has now settled on the No 10 role as his best, Tyler Dibling is the latest player to emerge from Southampton’s renowned academy setup. The 17-year-old Liverpool midfielder Trey Nyoni could be the latest youngster to establish himself in the first team. Should he remain at the club, Chelsea attacker Marc Guiu could have a strong impact. The former Chelsea youngster Lewis Hall saw his loan move to Newcastle made permanent this summer. Yankuba Minteh made the move to Brighton for a reported £33m and is expected to play a big part under the new Brighton boss Fabian Hürzeler.",Football,The Guardian,2024-08-14 13:00:15+0000
Premier League 2024-25 preview No 16: Nottingham Forest,https://www.theguardian.com/football/article/2024/aug/14/premier-league-2024-25-preview-no-16-nottingham-forest,"This is an article by The Guardian. A quieter time after plenty of off-field turmoil and making their way up the table are the main aims at the City Ground. The important thing at Forest is for the focus to be on the pitch rather than their social media channels or owner. Lessons are slowly being learned, and the scatter-gun recruitment has been replaced by something akin to strategy with deals being done early. A key problem last season was the whopping load of goals conceded from set pieces, prompting the signing of centre-back Nikola Milkenkovic and a 6ft 8in goalkeeper from Brazil. Nuno Espírito Santo has plenty of wingers to choose from, including the inexperienced but talented Jota Silva, who will support Anthony Elanga and Callum Hudson-Odoi. Striker Taiwo Awoniyi's fitness will be crucial for Forest's ambitions of a top-half finish. Efficient early business has been a welcome change, with Moussa Niakhaté sold to ease financial pressures. Forest's first three games are against Bournemouth, Wolves, and Southampton, and they hope to build a platform for a better campaign. Nuno faced a hard act in following the popular Steve Cooper but improved the team's defense and attack fluidity. Since their arrival in the Premier League, there has been plenty of chaos, but things are calmer now, with plans for stadium expansion and a focus on on-field performance.",Football,The Guardian,2024-08-14 11:00:12+0000
Women’s football at the Olympics is not working – it needs to change | Sophie Downey,https://www.theguardian.com/football/article/2024/aug/14/womens-football-olympics-not-working,"This is an article by The Guardian. As dusk drew in on Paris on Saturday, the curtain closed on another Olympic tournament, marked by the USA players securing their fifth gold medal. The joy of the moment was palpable, but as celebrations fade, questions arise about the competition's place in the women's football ecosystem. The Olympics must adapt to retain its prestigious reputation while balancing the demands of major international tournaments with players' need for rest. The current format is grueling, with finalists playing six games in 17 days, leading to slow, low-energy matches. The pandemic has compounded these issues, resulting in a condensed calendar and extensive injury lists among players. Solutions such as increasing squad sizes and removing extra time could alleviate pressure, while an under-23 format might provide opportunities for younger talent. Additionally, the attractiveness of Olympic football is in question, with disappointing attendances and lengthy match days. The disparity in team numbers between the men's and women's tournaments further complicates global interest. The IOC's reluctance to change raises concerns about gender inequality and the future of the women's tournament. If the Olympics are to remain a key part of the football calendar, these issues must be addressed before 2028.",Football,The Guardian,2024-08-14 11:00:13+0000
BBC and ITV announce they will share live coverage of Women’s Euro 2025,https://www.theguardian.com/football/article/2024/aug/14/bbc-and-itv-announce-they-will-share-live-coverage-of-2025-womens-euros,"This is an article by The Guardian. The 2025 Women’s European Championship will be broadcast live by the BBC and ITV after the two broadcasters agreed to share the rights. This tournament is the first Women’s Euros to be held since the UK government added it to its ‘crown jewels’ list of major sporting events that must be broadcast live, free-to-air. Hosted by Switzerland, the 16-team competition starts on 2 July, with England as the defending champions. Northern Ireland, Scotland, and Wales will hope to qualify via the playoffs beginning in October. The two broadcasters previously covered the 2023 Women’s World Cup together and will show the final live on Sunday, 27 July 2025. Games will be available on BBC television and iPlayer, while ITV will air matches on ITV1 and ITV4. Viewing figures for women’s international fixtures have soared, with over 17 million watching the Euros final two years ago. Alex Kay-Jelski, the new director of BBC Sport, expressed excitement about bringing another major tournament to audiences. ITV’s director of sport, Niall Sloane, also highlighted the anticipation for next year’s UEFA Women’s Euro following the success of the Women’s World Cup.",Football,The Guardian,2024-08-14 11:10:53+0000
What are the most lopsided derby scorelines across a football season? | The Knowledge,https://www.theguardian.com/football/article/2024/aug/14/most-lopsided-derby-scorelines-across-football-season-knowledge,"This is an article by The Guardian. In last season’s Eredivisie, De Klassieker had an aggregate score of Feyenoord 10-0 Ajax. Ajax faced the harsh reality of losing 4-0 at home and 6-0 away, leading to discussions about the worst derby defeats. Historically, Sunderland's 9-1 victory over Newcastle in 1909 remains one of the most lopsided results, with an aggregate score of 12-2 across both matches. In the Premier League era, notable defeats include Manchester United's 5-0 and 3-0 wins over City in 1994-95 and Liverpool's 5-0 and 4-0 victories over United in 2021-22. Bayern Munich also recorded a significant win against Borussia Dortmund, with an aggregate score of 12-1 in the 1971-72 season. 

Additionally, Ajax's recent match against Panathinaikos in the Europa League was a replay of the 1971 European Cup final, raising questions about the earliest repeats of major finals in UEFA competitions. The creativity of football fans in throwing objects onto the pitch has led to memorable incidents, including a live chicken thrown by Blackburn fans in protest against their owners. The first football club to have an official website was Ipswich Town, established in 1990, which sparked discussions about the evolution of club websites and social media presence. Lastly, questions about players taking sabbaticals and the most alphabetically lopsided leagues have emerged, showcasing the ongoing curiosity in football statistics and history.",Football,The Guardian,2024-08-14 07:00:35+0000
Conor Gallagher left in limbo at Chelsea as Atlético Madrid move stalls,https://www.theguardian.com/football/article/2024/aug/14/conor-gallagher-left-in-limbo-at-chelsea-as-atletico-madrid-move-stalls,"This is an article by The Guardian. Conor Gallagher has returned to London after his proposed move from Chelsea to Atlético Madrid was put on hold, with the England midfielder expected to resume training with the club’s under-21 squad. Atlético had agreed a £34m fee for Gallagher, who has spent the past week in the Spanish capital after completing his medical. The collapse of Chelsea’s move for striker Samu Omorodion has left the deal in jeopardy, with Atlético needing to sell another player to finance their move for the 24-year-old England international. Gallagher has rejected a new contract offer from Chelsea and turned down a move to Aston Villa this summer. He must now wait to see if the deal with Atlético can be resurrected or whether any other clubs make a bid. There could be more departures in the coming weeks if Félix is signed, with forwards Raheem Sterling and Noni Madueke among those believed to be on the market. Chelsea are expected to hold further negotiations with Napoli over a potential loan move for Victor Osimhen, with optimism that a deal for both players can be agreed. Former Chelsea midfielder John Obi Mikel has revealed that he and Didier Drogba have been attempting to convince Osimhen to move to Stamford Bridge. Chelsea have confirmed that Cole Palmer has been rewarded with a two-year contract extension up to 2033 after his brilliant first season.",Football,The Guardian,2024-08-14 09:53:26+0000
"Premier League season preview: Arsenal to Ipswich, Football Weekly - podcast",https://www.theguardian.com/football/audio/2024/aug/14/premier-league-season-preview-arsenal-to-ipswich-football-weekly-podcast,"This is an article by The Guardian. Max Rushden is joined by Barry Glendenning, Jonathan Wilson, and Jordan Jarrett-Bryan for the first of the Premier League preview podcasts. The panel discusses whether this is finally the year Arsenal can go one step further and win the Premier League after finishing second for the last two seasons. They also cover the challenges facing Aston Villa with an overhaul and European football, the uncertainty at Chelsea, Crystal Palace's struggle to retain star players, and Everton's ongoing crisis. Additionally, they aim to find something interesting to say about Fulham and welcome Ipswich Town back to the top tier. The podcast invites listener questions and encourages engagement through various platforms.",Football,The Guardian,2024-08-14 11:40:54+0000
Manchester United confirm signings of Matthijs de Ligt and Noussair Mazraoui,https://www.theguardian.com/football/article/2024/aug/13/manchester-united-sign-mathijs-de-ligt-noussair-mazraoui,"This is an article by The Guardian. Manchester United have laid down an early marker for the season by completing the £60m double transfer deal of Matthijs de Ligt and Noussair Mazraoui from Bayern Munich. The United manager, Erik ten Hag, had made it clear to the board that he needed to reinforce his squad after last season was blighted by injuries. The double transfer boost comes on the day that Aaron Wan-Bissaka’s departure to West Ham for a £15m fee was confirmed. De Ligt, who has won league titles with Ajax, Juventus, and Bayern, expressed excitement about the opportunity at Manchester United, stating, “I felt an excitement about the opportunity of a new challenge at such a historic club.” He will strengthen United’s central defence following the departure of Raphaël Varane. Full-back Mazraoui, who also played under Ten Hag at Ajax, shared his enthusiasm, saying, “It’s an incredible feeling to be a United player, and I cannot wait to walk out at Old Trafford wearing the red shirt.” The new arrivals are set to be available for United’s season-opener against Fulham at Old Trafford on Friday night. However, Luke Shaw will miss the matches due to a calf injury.",Football,The Guardian,2024-08-13 19:49:55+0000
Premier League to bring in AI-powered camera system to speed up VAR process,https://www.theguardian.com/football/article/2024/aug/13/premier-league-to-introduce-revolutionary-camera-system-to-aid-var-process,"This is an article by The Guardian. The Premier League is set to introduce a new version of the video assistant referee system using semi-automatic offside technology (SAOT), which aims to enhance officiating. Developed by Genius Sports, the AI-powered system will utilize 28 computer vision cameras at each Premier League ground, promising to deliver VAR verdicts within seconds and reduce match delays. Last season, lengthy VAR checks were a significant issue, with an average referral taking 64 seconds, extending game lengths to nearly 102 minutes. In response to fan frustrations, the Premier League's chief football officer, Tony Scholes, advocated for SAOT, which received unanimous support from clubs. Genius Sports outbid Hawk-Eye to secure the SAOT contract, and testing has shown that the system can reduce waiting times to around 30 seconds. The technology captures 10,000 data points for each player and the ball, allowing for precise offside decisions and the potential display of graphics in stadiums. The Premier League believes this system will provide the most sophisticated officiating in sports, with installation expected to occur after the international break. Hawk-Eye will continue to manage goalline technology for at least another season. The introduction of SAOT aims to prevent the high-profile offside errors that plagued the previous season.",Football,The Guardian,2024-08-13 20:19:51+0000
"Champions League: Rangers sent out by Dynamo Kyiv, Lille edge Fenerbahce",https://www.theguardian.com/football/article/2024/aug/13/champions-league-rangers-dynamo-kyiv-lille-fenerbahce,"This is an article by The Guardian. The Rangers head coach, Philippe Clement, called the dismissal of Jefté in the team’s Champions League defeat to Dynamo Kyiv “the worst decision I’ve seen in more than 30 years.” The Brazilian winger was booked in the first half and sent off in the 51st minute after what appeared to be a harsh second yellow card for an aerial challenge. With the tie poised at 1-1, Kyiv capitalized with late goals from Oleksandr Pikhalyonok and Nazar Voloshyn, winning 2-0 on the night and 3-1 on aggregate. Clement expressed his disappointment, stating, “This is the worst decision I have seen in more than 30 years of football.” 

In other matches, Red Bull Salzburg maintained control against FC Twente, advancing despite a late comeback from the hosts. José Mourinho’s Fenerbahce saw their hopes dashed by Lille, who secured a 3-2 aggregate victory after a penalty in extra time. Lille will face Slavia Prague in the final playoff round, while Fenerbahce drops into the Europa League. Malmö advanced on penalties against PAOK, and Qarabag produced a remarkable comeback to eliminate Ludogorets. They will face Dinamo Zagreb next, while Bodø/Glimt will play Red Star Belgrade.",Football,The Guardian,2024-08-13 21:19:23+0000
